name,id,annotation_version,gtf_path,fna_path,ensembl_db,source
Mus_musculus,GRCm39,Ens_110,,,mmusculus_gene_ensembl,ensembl
Mus_musculus,mm10,Ens_102,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/mm10.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/mm10.fa,,
Homo_sapiens,GRCh38,Ens_110,,,hsapiens_gene_ensembl,ensembl
Gallus_gallus,bGalGal1.mat.broiler.GRCg7b,Ens_110,,,ggallus_gene_ensembl,ensembl
Danio_rerio,danRer11_Lawson,lawson_4_3_2,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/5b_V4.3.2finalFixChrOnly.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/danRer11chrOnly.fa,,
Danio_rerio,GRCz11,Ens_106,,,drerio_gene_ensembl,ensembl
Drosophila_melanogaster,BDGP6.46,Ens_110,,,dmelanogaster_gene_ensembl,ensembl
Astyanax_mexicanus,Astyanax_mexicanus-2.0,Ens_110,,,amexicanus_gene_ensembl,ensembl
Astyanax_mexicanus,AstMex3_surface,NCBI_2022,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/AstMex3_surface.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/AstMex3_surface.fa,,
Nothobranchius_furzeri,GCF_043380555_1,NCBI_2024,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/GCF_043380555.1_NfurGRZ-RIMD1_genomic.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/GCF_043380555.1_NfurGRZ-RIMD1_genomic.fna,,
Montipora_capitata,Mcap,SIMR_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Mcap.clean.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Mcap.genome_assembly.fa,,
